Id,Label,node_type,modularity_class,degree,weighted degree,eigencentrality,pageranks,stat_inf_class,clustering,triangles,X,Y,Size,Color
2548,"F41: online, casino, gambling",Full,0,28,2.940355,0.053314,0.001609,24,0.087302,33,-111.352226,-3126.935791,21.09589,"#008a3b"
2551,"F42: gasoline, gallon, gas",Full,4,37,4.190904,0.273528,0.001736,17,0.118619,79,-1976.999023,2137.441406,24.794521,"#05ff00"
2557,"F43: filibuster, senate",Full,20,36,4.130613,0.215877,0.00165,7,0.122222,77,-361.925446,56.782936,24.38356,"#800f00"
2558,"F44: military, soldiers, army",Full,11,33,3.355332,0.199971,0.001761,3,0.102273,54,-584.094971,-489.59848,23.150684,"#4300a3"
2563,"F45: tort, damages, liability",Full,17,36,2.749326,0.155756,0.001959,28,0.061905,39,-2264.63208,-470.534241,24.38356,"#0011f5"
2567,"F46: religious, religiosity",Full,8,30,3.283462,0.07611,0.001687,5,0.110345,48,3876.155029,-1621.844482,21.917809,"#4c463e"
2569,"F47: friedman, milton, economists",Full,6,37,2.670729,0.275569,0.002045,4,0.051051,34,853.428162,-811.386719,24.794521,"#f00016"
2579,"F48: patents, protection",Full,1,29,2.987195,0.092915,0.001564,25,0.108374,44,-2324.008301,-2038.349854,21.506849,"#f5dc00"
2581,"F49: proposal, intervention, approach",Full,9,42,4.282118,0.322658,0.002308,22,0.076655,66,-1204.012695,310.001373,26.849316,"#ff2ec4"
2588,"F50: faculty, tenure, university",Full,6,39,6.611746,0.281629,0.00188,14,0.157895,117,1696.12146,-1698.579346,25.616438,"#f00016"
2594,F51: terrorism,Full,11,35,2.568533,0.205171,0.001854,2,0.084034,50,-777.850647,-1100.393555,23.972603,"#4300a3"
2602,"F52: punishment, capital, murder",Full,1,36,4.995858,0.203246,0.001768,19,0.138095,87,-1421.097412,-1930.310181,24.38356,"#f5dc00"
2609,F53: schools,Full,6,37,5.61306,0.279458,0.001907,14,0.129129,86,1966.249146,-1504.924927,24.794521,"#f00016"
2620,"F54: flu, pandemic, vaccine",Full,12,29,3.337819,0.074823,0.001592,13,0.110837,45,3185.105713,917.630188,21.506849,"#31a800"
2622,"F55: guns, ownership",Full,1,38,4.866718,0.261529,0.001674,19,0.170697,120,-1328.147827,-1804.696533,25.205479,"#f5dc00"
2623,"F56: books, bookstore",Full,5,29,2.520829,0.076791,0.001715,30,0.081281,33,-2712.133545,-1534.56311,21.506849,"#00c4ff"
2628,"F57: privacy, surveillance",Full,5,35,3.214281,0.238685,0.001809,19,0.104202,62,-1693.975464,-1166.370483,23.972603,"#00c4ff"
2632,"F58: consumers, information, products, advertising",Full,2,37,3.575397,0.278984,0.001896,0,0.087087,58,-1303.839355,215.578552,24.794521,"#73c000"
2639,"F59: war, iraq, costs",Full,11,39,4.890136,0.337461,0.001962,3,0.098516,73,-247.295944,-150.435074,25.616438,"#4300a3"
2645,"F60: girls, sex, selection",Full,8,40,5.453474,0.252215,0.001942,5,0.125641,98,2749.920166,-1050.135742,26.027397,"#4c463e"
2651,"F61: fertility, birth",Full,8,41,6.020616,0.388046,0.001856,23,0.12439,102,1543.15686,-399.617401,26.438356,"#4c463e"
2656,"F62: charitable, giving",Full,3,35,3.389231,0.291425,0.001596,6,0.109244,65,579.125793,418.09079,23.972603,"#9900e0"
2658,"F63: contraception, sex, church",Full,8,35,4.042184,0.141983,0.001854,5,0.110924,66,3605.112549,-1376.355835,23.972603,"#4c463e"
2661,F64: iq,Full,6,27,1.726898,0.093714,0.001445,29,0.048433,17,2841.359619,-1984.657593,20.684933,"#f00016"
2667,"F65: mail, postal, spam",Full,5,31,2.250391,0.108623,0.001856,2,0.075269,35,-3115.276611,-1383.005005,22.328768,"#00c4ff"
2672,"F66: organs, kidney, transplants",Full,10,27,2.500396,0.061542,0.001543,25,0.076923,27,-1622.921997,-3640.703369,20.684933,"#7370ff"
2676,"F67: teachers, students, merit",Full,6,35,5.027345,0.240221,0.001728,14,0.137815,82,1950.155762,-1706.099976,23.972603,"#f00016"
2682,"F68: nuclear, plants, power",Full,4,30,2.740013,0.104096,0.001633,17,0.101149,44,-2542.513184,2766.239746,21.917809,"#05ff00"
2687,"F69: corruption, officials",Full,2,35,2.442828,0.304365,0.001898,13,0.055462,33,-886.828979,336.589966,23.972603,"#73c000"
2700,"F70: crime, rates, police",Full,1,43,6.483369,0.349465,0.002004,19,0.139535,126,-1155.981079,-1795.196655,27.260275,"#f5dc00"
2707,F71: microfinance,Full,13,38,5.003262,0.317822,0.001739,21,0.145092,102,467.124207,1665.292236,25.205479,"#ff5584"
2712,"F72: bubbles, asset",Full,13,32,2.080862,0.18807,0.001722,11,0.078629,39,-622.687439,2402.754395,22.739727,"#ff5584"
2719,"F73: crimes, punishment",Full,1,35,5.950173,0.199191,0.001744,19,0.171429,102,-1352.625977,-1962.598633,23.972603,"#f5dc00"
2726,"F74: exports, imports",Full,15,36,3.985985,0.372263,0.001576,20,0.11746,74,-269.834442,498.694244,24.38356,"#ff8805"
2730,"F75: copyright, grokster",Full,5,34,2.84228,0.13651,0.001978,28,0.064171,36,-2773.588135,-1844.429321,23.561644,"#00c4ff"
2736,"F76: foundations, gates, buffett",Full,6,37,3.121825,0.268516,0.001937,29,0.069069,46,265.17099,-314.449982,24.794521,"#f00016"
2744,F77: japan,Full,15,36,4.430051,0.344867,0.001689,24,0.112698,71,1018.760681,90.051178,24.38356,"#ff8805"
2749,"F78: aids, africa, prevalence",Full,12,33,3.63069,0.168298,0.001613,13,0.117424,62,2663.995117,626.036865,23.150684,"#31a800"
2751,"F79: costs, benefits",Full,2,35,3.613025,0.296137,0.001951,3,0.068908,41,-315.243835,573.354675,23.972603,"#73c000"
2763,"F80: water, irrigation",Full,4,35,3.259566,0.205239,0.001821,17,0.12437,74,-2185.362305,2101.415039,23.972603,"#05ff00"
2770,"F81: tenure, employees, sector",Full,2,50,7.152848,0.556387,0.002141,31,0.131429,161,-558.884216,659.22522,30.136986,"#73c000"
2774,"F82: alumni, legacy, admissions",Full,6,38,5.083228,0.257406,0.002156,14,0.116643,82,1873.018921,-1733.39563,25.205479,"#f00016"
2787,"F83: hedge, funds",Full,13,36,4.961038,0.330481,0.001611,11,0.11746,74,-91.259827,1400.983887,24.38356,"#ff5584"
2791,"F84: ceiling, debt",Full,3,36,4.21756,0.375097,0.001553,7,0.142857,90,-15.390236,1251.037964,24.38356,"#9900e0"
2795,F85: polygamy,Full,8,31,3.000079,0.093067,0.001988,5,0.086022,40,3901.81958,-1137.327026,22.328768,"#4c463e"
2807,"F86: population, growth",Full,8,35,2.899575,0.298792,0.001874,27,0.078992,47,1274.508911,-33.170673,23.972603,"#4c463e"
2819,"F87: estate, tax",Full,3,34,2.501227,0.198226,0.001911,6,0.081996,46,678.539551,1523.203247,23.561644,"#9900e0"
2831,F88: posner,Full,9,30,2.168529,0.08051,0.002008,22,0.08046,35,-2760.653076,7.119291,21.917809,"#ff2ec4"
2840,F89: conservatism,Full,6,35,3.154681,0.183735,0.001916,4,0.078992,47,1124.663208,-1410.781372,23.972603,"#f00016"
2848,"F90: liberal, academics",Full,6,37,5.337043,0.239027,0.001824,4,0.132132,88,1453.023315,-1662.540405,24.794521,"#f00016"
2851,F91: becker,Full,9,26,1.772177,0.036471,0.002136,22,0.04,13,-3011.903809,169.686905,20.273972,"#ff2ec4"
2863,F92: athletes,Full,7,35,4.26217,0.206844,0.001827,26,0.119328,71,1711.241699,-3577.512939,23.972603,"#ff85eb"
2871,"F93: onechild, policy",Full,8,36,5.514343,0.332334,0.001605,23,0.134921,85,1547.150513,-485.098907,24.38356,"#4c463e"
2877,"F94: happiness, utility, average",Full,14,35,3.022995,0.224523,0.002023,27,0.055462,33,887.853271,612.632446,23.972603,"#5795ff"
2891,"F95: doping, athletes",Full,7,31,3.619234,0.091015,0.001739,26,0.098925,46,1565.078125,-3881.536865,22.328768,"#ff85eb"
2897,F96: rankings,Full,6,28,2.34788,0.11653,0.001525,14,0.068783,26,1760.871948,-2318.708984,21.09589,"#f00016"
2902,"F97: africa, aid",Full,15,35,4.603716,0.326024,0.001728,13,0.129412,77,1302.552246,73.496216,23.972603,"#ff8805"
2909,"F98: endowments, gifts",Full,6,35,2.500865,0.292275,0.00159,14,0.085714,51,1518.302368,-956.535339,23.972603,"#f00016"
2913,F99: NON SENSE,Full,18,27,5.120808,0.056657,0.002371,8,0.005698,2,2113.468262,3162.916992,20.684933,"#d60087"
2932,"F100: courses, moocs, online",Full,6,35,4.097102,0.222049,0.002129,14,0.114286,68,1909.148926,-1805.475952,23.972603,"#f00016"
2947,"F101: eminent, domain, property",Full,19,38,2.444455,0.278938,0.002148,28,0.025605,18,-819.307434,-45.15733,25.205479,"#b88a00"
2960,"F102: summers, harvard",Full,6,37,4.730863,0.232024,0.002087,14,0.129129,86,1781.378296,-1875.10376,24.794521,"#f00016"
2969,"F103: stem, cell, research",Full,10,27,2.259683,0.070503,0.001676,25,0.048433,17,-1404.568604,-3479.17627,20.684933,"#7370ff"
2975,"F104: ethanol, corn, biofuels",Full,4,35,4.04534,0.208902,0.001822,17,0.132773,79,-2079.156494,2174.400635,23.972603,"#05ff00"
2985,"F105: olympic, athletes",Full,7,29,3.401296,0.095751,0.001846,26,0.076355,31,1688.927002,-3930.387939,21.506849,"#ff85eb"
